id,username,email,password,role,status,pharmacy_id,created_at
44,youssef_daoudi_44,youssef.daoudi44@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,SUSPENDED,413,2024-02-15T15:51:36
45,saddik_benjelloun_45,saddik.benjelloun45@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,SUSPENDED,324,2024-08-24T18:01:06
46,othmane_tazi_46,othmane.tazi46@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,ACTIVE,94,2026-10-21T12:56:32
47,houda_alaoui_47,houda.alaoui47@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,DISABLED,373,2024-04-28T15:21:35
48,ilham_mansouri_48,ilham.mansouri48@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,SUSPENDED,117,2024-11-08T08:21:22
49,zineb_daoudi_49,zineb.daoudi49@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,ACTIVE,47,2024-08-05T19:47:46
50,nadia_benjelloun_50,nadia.benjelloun50@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,PENDING,193,2024-07-07T15:52:50
51,mehdi_mansouri_51,mehdi.mansouri51@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,ACTIVE,425,2024-11-27T18:37:07
52,saddik_skalli_52,saddik.skalli52@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,SUSPENDED,5,2026-12-02T16:59:27
53,ilham_daoudi_53,ilham.daoudi53@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,PENDING,132,2024-07-22T17:38:56
54,soufiane_daoudi_54,soufiane.daoudi54@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,SUSPENDED,255,2025-07-11T12:28:51
55,fatima_berrada_55,fatima.berrada55@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,DISABLED,322,2026-12-18T18:13:12
56,mehdi_tahiri_56,mehdi.tahiri56@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,DISABLED,136,2026-11-06T16:34:44
57,soufiane_mansouri_57,soufiane.mansouri57@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,DISABLED,492,2026-10-22T19:26:43
58,houda_chraibi_58,houda.chraibi58@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,ACTIVE,536,2024-01-13T10:03:42
59,youssef_alaoui_59,youssef.alaoui59@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,PENDING,294,2026-05-05T08:44:50
60,zineb_alaoui_60,zineb.alaoui60@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,DISABLED,464,2024-10-28T18:47:35
61,hassan_mansouri_61,hassan.mansouri61@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,PENDING,524,2026-05-23T18:03:59
62,othmane_tazi_62,othmane.tazi62@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,DISABLED,56,2024-12-09T11:39:55
63,saddik_bennani_63,saddik.bennani63@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,DISABLED,202,2026-04-10T15:11:43
64,omar_berrada_64,omar.berrada64@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,ACTIVE,387,2024-07-09T16:16:08
65,siham_tahiri_65,siham.tahiri65@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,ACTIVE,339,2025-12-05T08:09:59
66,soufiane_tahiri_66,soufiane.tahiri66@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,DISABLED,503,2026-09-12T09:50:45
67,soufiane_daoudi_67,soufiane.daoudi67@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,PENDING,534,2024-09-06T14:34:34
68,othmane_benjelloun_68,othmane.benjelloun68@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,PENDING,219,2026-06-11T13:18:13
69,reda_skalli_69,reda.skalli69@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,ACTIVE,355,2025-04-21T17:58:39
70,hassan_el amrani_70,hassan.el amrani70@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,SUSPENDED,117,2025-05-18T19:18:01
71,reda_bennani_71,reda.bennani71@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,SUSPENDED,499,2024-05-21T11:20:32
72,omar_benjelloun_72,omar.benjelloun72@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,ACTIVE,68,2024-11-21T20:13:55
73,nadia_bennani_73,nadia.bennani73@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,PENDING,446,2026-02-24T18:09:01
74,saddik_mansouri_74,saddik.mansouri74@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,ACTIVE,90,2024-01-06T20:16:35
75,omar_tahiri_75,omar.tahiri75@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,DISABLED,418,2025-08-21T14:27:20
76,amine_tazi_76,amine.tazi76@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,ACTIVE,65,2026-10-02T19:54:04
77,meryem_daoudi_77,meryem.daoudi77@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,DISABLED,309,2026-02-10T20:59:28
78,othmane_tazi_78,othmane.tazi78@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,SUSPENDED,161,2026-04-05T19:25:50
79,houda_chraibi_79,houda.chraibi79@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,DISABLED,383,2024-09-28T16:09:07
80,youssef_el amrani_80,youssef.el amrani80@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,ACTIVE,313,2024-12-24T19:22:13
81,nadia_naciri_81,nadia.naciri81@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,PENDING,189,2024-10-27T12:12:07
82,siham_naciri_82,siham.naciri82@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,SUSPENDED,75,2025-11-03T12:06:12
83,ilham_el idrissi_83,ilham.el idrissi83@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,PENDING,241,2024-05-20T09:57:12
84,soufiane_skalli_84,soufiane.skalli84@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,DISABLED,314,2026-10-05T17:36:23
85,soufiane_tazi_85,soufiane.tazi85@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,ACTIVE,321,2024-04-23T19:41:27
86,karim_bennani_86,karim.bennani86@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,PENDING,340,2025-08-15T13:49:19
87,ilham_daoudi_87,ilham.daoudi87@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,PENDING,84,2025-03-18T11:16:46
88,omar_mansouri_88,omar.mansouri88@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,ACTIVE,520,2026-01-27T17:37:25
89,mehdi_el amrani_89,mehdi.el amrani89@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,SUSPENDED,153,2025-07-08T20:37:46
90,zineb_berrada_90,zineb.berrada90@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,ACTIVE,407,2025-09-01T18:15:54
91,siham_kabbaj_91,siham.kabbaj91@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,SUSPENDED,164,2024-10-19T18:55:09
92,ilham_el idrissi_92,ilham.el idrissi92@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,PENDING,500,2024-02-09T13:14:02
93,mehdi_daoudi_93,mehdi.daoudi93@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,SUSPENDED,481,2025-01-02T18:20:06
94,reda_naciri_94,reda.naciri94@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,DISABLED,179,2025-11-13T13:37:41
95,omar_daoudi_95,omar.daoudi95@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,SUSPENDED,229,2026-07-12T13:31:50
96,ilham_tahiri_96,ilham.tahiri96@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,PENDING,451,2024-04-03T16:41:17
97,mehdi_berrada_97,mehdi.berrada97@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,PENDING,371,2026-12-27T09:42:14
98,nadia_kabbaj_98,nadia.kabbaj98@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,ACTIVE,494,2026-08-16T11:37:10
99,nadia_el amrani_99,nadia.el amrani99@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,ACTIVE,131,2026-10-06T10:40:32
100,youssef_tahiri_100,youssef.tahiri100@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,ACTIVE,171,2025-03-17T14:38:36
101,amine_mansouri_101,amine.mansouri101@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,ACTIVE,222,2025-10-16T15:10:14
102,nadia_tahiri_102,nadia.tahiri102@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,PENDING,524,2025-03-24T18:21:59
103,saddik_tahiri_103,saddik.tahiri103@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,PENDING,388,2025-03-04T08:12:33
104,reda_naciri_104,reda.naciri104@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,PENDING,99,2024-08-20T17:02:56
105,houda_daoudi_105,houda.daoudi105@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,ACTIVE,494,2026-03-20T16:52:00
106,nadia_daoudi_106,nadia.daoudi106@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,DISABLED,45,2026-09-14T11:51:30
107,othmane_el idrissi_107,othmane.el idrissi107@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,SUSPENDED,138,2025-08-25T11:58:54
108,omar_chraibi_108,omar.chraibi108@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,DISABLED,194,2024-12-24T20:00:36
109,reda_benjelloun_109,reda.benjelloun109@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,SUSPENDED,211,2026-06-14T13:06:09
110,nadia_naciri_110,nadia.naciri110@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,DISABLED,549,2025-10-12T17:17:43
111,othmane_kabbaj_111,othmane.kabbaj111@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,SUSPENDED,495,2024-06-18T16:30:16
112,zineb_tahiri_112,zineb.tahiri112@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,SUSPENDED,142,2026-02-24T11:28:50
113,siham_benjelloun_113,siham.benjelloun113@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,SUSPENDED,347,2026-10-23T18:45:03
114,siham_tazi_114,siham.tazi114@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,ACTIVE,149,2025-10-14T09:04:16
115,hassan_el idrissi_115,hassan.el idrissi115@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,ACTIVE,394,2025-10-21T16:18:45
116,youssef_kabbaj_116,youssef.kabbaj116@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,SUSPENDED,450,2024-04-28T18:59:51
117,reda_chraibi_117,reda.chraibi117@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,ACTIVE,523,2026-12-08T17:10:43
118,youssef_el idrissi_118,youssef.el idrissi118@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,ACTIVE,162,2024-05-25T14:22:42
119,othmane_tazi_119,othmane.tazi119@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,ACTIVE,71,2024-09-10T19:53:35
120,meryem_el idrissi_120,meryem.el idrissi120@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,PENDING,200,2025-07-19T08:16:11
121,nadia_daoudi_121,nadia.daoudi121@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,ACTIVE,516,2025-06-04T20:32:16
122,houda_bennani_122,houda.bennani122@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,SUSPENDED,387,2026-08-25T11:48:21
123,saddik_naciri_123,saddik.naciri123@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,ACTIVE,494,2024-05-03T14:40:50
