id,client_id,name,total_amount,paid_amount,remaining_amount,phone,status,pharmacy_id
76,CIN-C949540,Fatima El Amrani,345.8,42.48,303.32,+212 0645741756,PENDING,177
77,CIN-B327756,Fatima Berrada,599.66,3.49,596.17,+212 0722371664,PENDING,198
78,CIN-D888485,Meryem Benjelloun,1866.31,1591.08,275.23,+212 0721115292,PENDING,9
79,CIN-D896346,Mehdi Mansouri,2112.25,2055.89,56.36,+212 0667642011,PENDING,252
80,CIN-C968275,Khadija El Amrani,280.38,21.81,258.57,+212 0760052049,PENDING,397
81,CIN-B242036,Othmane Mansouri,2256.36,1206.8,1049.56,+212 0710389537,PENDING,471
82,CIN-A615601,Hassan Bennani,1954.05,1521.92,432.13,+212 0690253244,PENDING,420
83,CIN-B681046,Nadia El Idrissi,1536.57,1114.18,422.39,+212 0776543959,PENDING,103
84,CIN-D135718,Omar Berrada,715.15,168.8,546.35,+212 0753474911,PENDING,522
85,CIN-C391960,Houda Naciri,736.88,594.22,142.66,+212 0682223449,PENDING,465
86,CIN-C285727,Zineb Daoudi,1993.68,1331.08,662.6,+212 0785694451,PENDING,121
87,CIN-C345688,Omar Chraibi,1610.37,746.36,864.01,+212 0660713391,PENDING,548
88,CIN-B451334,Zineb Naciri,411.15,165.78,245.37,+212 0712395545,PENDING,115
89,CIN-B994368,Amine Bennani,2106.31,929.92,1176.39,+212 0777309780,PENDING,219
90,CIN-B642110,Siham El Amrani,712.78,398.66,314.12,+212 0753919193,PENDING,86
91,CIN-C138594,Soufiane El Amrani,1324.2,955.05,369.15,+212 0739848550,PENDING,401
92,CIN-D840534,Omar Chraibi,1322.64,457.26,865.38,+212 0727856621,PENDING,403
93,CIN-C721564,Siham Chraibi,2322.33,1567.37,754.96,+212 0681445651,PENDING,464
94,CIN-C938561,Omar Chraibi,923.09,600.19,322.9,+212 0763384554,PENDING,4
95,CIN-B158629,Fatima Benjelloun,314.22,205.95,108.27,+212 0781312059,PENDING,533
96,CIN-D147844,Fatima Naciri,1582.32,370.58,1211.74,+212 0620241766,PENDING,414
97,CIN-D611431,Houda Berrada,2189.9,440.88,1749.02,+212 0666740009,PENDING,227
98,CIN-C448563,Nadia Berrada,886.58,755.67,130.91,+212 0795901213,PENDING,194
99,CIN-D598671,Hassan Chraibi,224.31,36.29,188.02,+212 0664669370,PENDING,337
100,CIN-C891294,Amine Alaoui,2297.71,685.73,1611.98,+212 0648221194,PENDING,506
101,CIN-A261617,Meryem El Idrissi,533.3,474.5,58.8,+212 0732168555,PENDING,397
102,CIN-C919683,Meryem El Amrani,2077.11,1237.53,839.58,+212 0783607228,PENDING,205
103,CIN-C906136,Houda Naciri,2406.05,1395.44,1010.61,+212 0768980106,PENDING,185
104,CIN-D969233,Zineb Mansouri,1372.57,391.32,981.25,+212 0605236141,PENDING,240
105,CIN-A564044,Siham Skalli,1666.26,29.76,1636.5,+212 0720050294,PENDING,233
106,CIN-A877162,Houda Daoudi,1545.04,684.21,860.83,+212 0604859159,PENDING,368
107,CIN-C106655,Zineb Daoudi,2174.27,371.06,1803.21,+212 0784041471,PENDING,525
108,CIN-B720268,Reda Skalli,2162.89,1962.65,200.24,+212 0795156992,PENDING,118
109,CIN-B340918,Youssef Naciri,2344.03,467.7,1876.33,+212 0668840476,PENDING,12
110,CIN-D498513,Zineb Skalli,1973.67,1364.96,608.71,+212 0641592842,PENDING,503
111,CIN-D315981,Khadija Tazi,2071.4,946.06,1125.34,+212 0737466785,PENDING,454
112,CIN-A618222,Othmane Benjelloun,343.19,101.77,241.42,+212 0616859524,PENDING,121
113,CIN-A228512,Ilham Daoudi,1132.67,559.46,573.21,+212 0656343251,PENDING,84
114,CIN-A877548,Houda Daoudi,164.97,108.55,56.42,+212 0614914101,PENDING,133
115,CIN-A716606,Saddik Kabbaj,209.07,17.07,192.0,+212 0774815796,PENDING,281
116,CIN-A633645,Reda El Amrani,2226.68,420.44,1806.24,+212 0612458247,PENDING,26
117,CIN-B809729,Siham Skalli,1898.63,82.02,1816.61,+212 0774364254,PENDING,318
118,CIN-D912755,Siham Tazi,1729.47,105.08,1624.39,+212 0654666920,PENDING,179
119,CIN-C467426,Hassan Mansouri,1472.11,219.53,1252.58,+212 0687086334,PENDING,237
120,CIN-A245140,Youssef Daoudi,1497.21,1416.34,80.87,+212 0690385698,PENDING,311
121,CIN-C946859,Fatima Skalli,768.41,717.21,51.2,+212 0662684941,PENDING,469
122,CIN-A666091,Saddik El Idrissi,1538.72,406.18,1132.54,+212 0653792606,PENDING,133
123,CIN-B756268,Amine Naciri,697.91,361.22,336.69,+212 0602978067,PENDING,275
124,CIN-D753713,Mehdi El Amrani,1112.64,702.66,409.98,+212 0622212881,PENDING,22
125,CIN-C244899,Houda Bennani,591.52,562.74,28.78,+212 0622327234,PENDING,275
126,CIN-C668269,Othmane Bennani,271.37,208.76,62.61,+212 0683881489,PENDING,171
127,CIN-D185021,Mehdi Berrada,2477.9,406.58,2071.32,+212 0684661999,PENDING,47
128,CIN-C461485,Reda Tazi,1319.96,123.82,1196.14,+212 0621337521,PENDING,366
129,CIN-C273329,Fatima Berrada,2080.98,535.55,1545.43,+212 0700489974,PENDING,180
130,CIN-D980638,Saddik Alaoui,1678.31,1029.33,648.98,+212 0637485083,PENDING,276
131,CIN-D882935,Youssef Kabbaj,2131.86,309.24,1822.62,+212 0660830773,PENDING,391
132,CIN-B625902,Reda El Idrissi,1259.16,457.62,801.54,+212 0771573335,PENDING,217
133,CIN-D498265,Youssef Berrada,1297.16,1258.57,38.59,+212 0689405694,PENDING,108
134,CIN-C265960,Reda Benjelloun,2384.67,402.46,1982.21,+212 0607962480,PENDING,164
135,CIN-A166733,Saddik El Idrissi,729.24,96.87,632.37,+212 0717372017,PENDING,116
136,CIN-D575316,Soufiane Mansouri,1170.9,747.11,423.79,+212 0777473510,PENDING,311
137,CIN-B119029,Reda Tahiri,2179.6,567.62,1611.98,+212 0671677880,PENDING,170
138,CIN-A917258,Fatima Alaoui,2444.98,2406.23,38.75,+212 0608334187,PENDING,328
139,CIN-C315793,Amine Kabbaj,1796.46,1419.22,377.24,+212 0693038035,PENDING,108
140,CIN-D835857,Hassan Benjelloun,2084.53,519.65,1564.88,+212 0695048881,PENDING,374
141,CIN-B647293,Saddik Alaoui,1456.36,1440.3,16.06,+212 0629278099,PENDING,241
142,CIN-D689083,Houda Tazi,2218.11,1553.9,664.21,+212 0691062046,PENDING,425
143,CIN-A590411,Hassan Daoudi,2285.55,2074.82,210.73,+212 0669194867,PENDING,389
144,CIN-A210929,Nadia Bennani,1776.44,1685.8,90.64,+212 0744911851,PENDING,352
145,CIN-B453855,Siham El Idrissi,730.54,121.62,608.92,+212 0773018087,PENDING,516
146,CIN-D916398,Amine Berrada,823.42,703.43,119.99,+212 0672752152,PENDING,151
147,CIN-D893869,Karim Alaoui,679.32,587.8,91.52,+212 0716638267,PENDING,375
148,CIN-C513214,Saddik Skalli,2007.1,881.46,1125.64,+212 0719846053,PENDING,340
149,CIN-A547846,Youssef Tahiri,1632.2,718.77,913.43,+212 0783486987,PENDING,298
150,CIN-B892862,Siham Tahiri,1915.94,767.43,1148.51,+212 0691773605,PENDING,3
151,CIN-B868027,Omar Benjelloun,2293.79,2269.67,24.12,+212 0600778318,PENDING,419
152,CIN-B342098,Omar Tahiri,588.07,375.99,212.08,+212 0703225081,PENDING,154
153,CIN-D843449,Karim Naciri,486.15,472.93,13.22,+212 0754544727,PENDING,179
154,CIN-C231772,Saddik Bennani,796.4,634.78,161.62,+212 0674066867,PENDING,6
155,CIN-B432554,Mehdi Skalli,1734.49,652.03,1082.46,+212 0798237618,PENDING,210
156,CIN-A269193,Reda Bennani,2288.74,1246.46,1042.28,+212 0790912812,PENDING,416
157,CIN-C892663,Houda Benjelloun,621.42,495.91,125.51,+212 0767102622,PENDING,105
158,CIN-A859093,Nadia Berrada,1558.81,299.28,1259.53,+212 0743728284,PENDING,102
159,CIN-A260937,Fatima El Amrani,2180.73,773.8,1406.93,+212 0643209182,PENDING,299
160,CIN-C152641,Nadia Tazi,1255.53,775.67,479.86,+212 0783031729,PENDING,222
161,CIN-D618695,Omar Alaoui,2201.33,1046.9,1154.43,+212 0768481419,PENDING,103
162,CIN-C195615,Omar Tahiri,1435.87,1167.58,268.29,+212 0608496538,PENDING,269
163,CIN-B675456,Houda Chraibi,194.1,181.7,12.4,+212 0793401075,PENDING,464
164,CIN-B852742,Ilham Berrada,1798.8,1753.13,45.67,+212 0657502259,PENDING,121
165,CIN-A574934,Siham Skalli,1689.01,1496.7,192.31,+212 0654495503,PENDING,325
166,CIN-A565365,Nadia Skalli,1410.07,465.73,944.34,+212 0723967783,PENDING,328
167,CIN-A581281,Houda El Amrani,2245.45,914.15,1331.3,+212 0762679409,PENDING,214
168,CIN-C363021,Khadija Skalli,1220.19,166.22,1053.97,+212 0748036145,PENDING,26
169,CIN-A770255,Omar Tahiri,1729.19,315.24,1413.95,+212 0765058484,PENDING,278
170,CIN-A795387,Houda Alaoui,1469.52,1187.19,282.33,+212 0760229351,PENDING,500
171,CIN-C510689,Reda Naciri,1955.85,1717.52,238.33,+212 0736938058,PENDING,35
172,CIN-D168608,Karim Alaoui,1238.98,819.11,419.87,+212 0717593172,PENDING,35
173,CIN-C152579,Soufiane Tazi,1398.68,1152.41,246.27,+212 0614796126,PENDING,541
174,CIN-A546541,Ilham El Idrissi,1385.02,843.04,541.98,+212 0785379978,PENDING,430
175,CIN-D303571,Othmane El Idrissi,1335.92,57.64,1278.28,+212 0619888744,PENDING,186
176,CIN-A646220,Reda Kabbaj,300.39,192.38,108.01,+212 0745747706,PENDING,351
177,CIN-C423147,Reda Naciri,1870.31,1032.63,837.68,+212 0648564327,PENDING,85
178,CIN-D520429,Soufiane Tazi,2437.87,172.92,2264.95,+212 0727701562,PENDING,84
179,CIN-D853979,Fatima Skalli,1395.6,1147.49,248.11,+212 0600854631,PENDING,285
180,CIN-B640268,Youssef Tazi,2337.5,2165.05,172.45,+212 0749323755,PENDING,534
181,CIN-B626069,Hassan Naciri,583.95,468.35,115.6,+212 0649325485,PENDING,179
182,CIN-A122483,Othmane Tazi,1888.82,1777.05,111.77,+212 0753479710,PENDING,156
183,CIN-A632812,Amine El Amrani,2126.2,1983.27,142.93,+212 0632666178,PENDING,524
184,CIN-C901588,Zineb Mansouri,2079.99,1656.0,423.99,+212 0662776502,PENDING,166
185,CIN-D176578,Fatima Berrada,950.73,720.64,230.09,+212 0653537592,PENDING,476
186,CIN-A900947,Khadija Tazi,2174.33,1620.55,553.78,+212 0642933801,PENDING,486
187,CIN-C702418,Saddik Skalli,2218.5,98.58,2119.92,+212 0746083486,PENDING,120
188,CIN-D495644,Saddik Daoudi,1269.69,410.67,859.02,+212 0612331534,PENDING,178
189,CIN-D828474,Omar Naciri,347.34,170.2,177.14,+212 0637514164,PENDING,394
190,CIN-C829585,Siham Alaoui,1367.81,790.18,577.63,+212 0732786028,PENDING,424
191,CIN-C235463,Meryem Naciri,617.07,222.05,395.02,+212 0612199149,PENDING,330
192,CIN-C930056,Meryem Alaoui,559.17,503.73,55.44,+212 0619654970,PENDING,297
193,CIN-D101724,Khadija Chraibi,2429.58,876.66,1552.92,+212 0721020388,PENDING,463
194,CIN-D738322,Nadia El Amrani,274.79,230.09,44.7,+212 0721210046,PENDING,483
195,CIN-D952236,Youssef Daoudi,948.81,76.72,872.09,+212 0786542556,PENDING,146
196,CIN-B729730,Soufiane Kabbaj,538.75,332.59,206.16,+212 0741710567,PENDING,148
197,CIN-C895597,Nadia Kabbaj,1588.13,1108.5,479.63,+212 0670648723,PENDING,538
198,CIN-A141756,Mehdi Daoudi,2411.63,2390.33,21.3,+212 0717520477,PENDING,314
199,CIN-D983521,Saddik Tazi,1350.54,942.25,408.29,+212 0673255382,PENDING,315
200,CIN-D347079,Othmane Kabbaj,618.38,144.84,473.54,+212 0625063483,PENDING,141
201,CIN-A932518,Amine Benjelloun,2248.91,521.49,1727.42,+212 0764675038,PENDING,335
202,CIN-A389669,Omar Daoudi,1875.15,1686.09,189.06,+212 0720397101,PENDING,277
203,CIN-A864477,Youssef Tahiri,619.31,22.2,597.11,+212 0699340960,PENDING,542
204,CIN-C294051,Othmane Daoudi,2315.39,2030.94,284.45,+212 0786558422,PENDING,476
205,CIN-C124176,Saddik El Idrissi,1155.63,603.9,551.73,+212 0764429277,PENDING,89
206,CIN-D504098,Meryem Berrada,1547.21,226.55,1320.66,+212 0774942221,PENDING,60
207,CIN-B796827,Siham Alaoui,1571.47,1400.64,170.83,+212 0649871420,PENDING,326
208,CIN-D253668,Hassan Benjelloun,1195.7,596.34,599.36,+212 0640493863,PENDING,235
209,CIN-B165426,Soufiane Naciri,2487.22,2287.93,199.29,+212 0733734776,PENDING,445
210,CIN-D329735,Reda Berrada,868.67,465.88,402.79,+212 0765469915,PENDING,30
211,CIN-D529708,Reda El Idrissi,1636.6,1166.0,470.6,+212 0644298368,PENDING,118
212,CIN-C945779,Amine El Idrissi,1597.75,734.94,862.81,+212 0711555107,PENDING,126
213,CIN-D974376,Othmane Benjelloun,1449.77,581.96,867.81,+212 0658890171,PENDING,130
214,CIN-B163190,Omar Mansouri,1522.45,1376.1,146.35,+212 0668315624,PENDING,400
215,CIN-B449908,Omar Kabbaj,216.56,138.38,78.18,+212 0669769054,PENDING,156
216,CIN-B620714,Fatima Mansouri,2150.49,1884.52,265.97,+212 0694719023,PENDING,108
217,CIN-B951163,Ilham Kabbaj,177.2,144.55,32.65,+212 0625759212,PENDING,37
218,CIN-A777413,Zineb Daoudi,2036.59,413.06,1623.53,+212 0656431721,PENDING,287
219,CIN-B466804,Omar Kabbaj,2117.04,836.45,1280.59,+212 0686701987,PENDING,21
220,CIN-D103734,Zineb El Idrissi,1738.19,523.04,1215.15,+212 0618131254,PENDING,512
221,CIN-D825408,Hassan El Idrissi,563.42,463.74,99.68,+212 0654076471,PENDING,134
222,CIN-A916528,Nadia Daoudi,1611.85,435.23,1176.62,+212 0631453948,PENDING,480
223,CIN-B269466,Saddik Kabbaj,2093.57,1635.17,458.4,+212 0758458402,PENDING,455
224,CIN-D719318,Amine Berrada,1827.46,1789.88,37.58,+212 0680667252,PENDING,197
225,CIN-B168512,Zineb Chraibi,1902.76,1389.19,513.57,+212 0751906774,PENDING,8
226,CIN-C275194,Mehdi El Amrani,2141.76,2069.96,71.8,+212 0734437108,PENDING,340
227,CIN-B426625,Meryem Chraibi,1166.47,847.95,318.52,+212 0637353497,PENDING,535
228,CIN-D567607,Reda Bennani,1106.56,684.61,421.95,+212 0622535022,PENDING,268
229,CIN-D820087,Amine Alaoui,1662.51,1063.5,599.01,+212 0684713705,PENDING,503
230,CIN-B149529,Siham Kabbaj,1847.87,259.41,1588.46,+212 0620040234,PENDING,193
231,CIN-A429119,Ilham Naciri,642.62,531.79,110.83,+212 0684535002,PENDING,422
232,CIN-A735180,Othmane Tazi,675.72,133.97,541.75,+212 0736586949,PENDING,492
233,CIN-D621482,Khadija Bennani,1400.82,1225.83,174.99,+212 0644553296,PENDING,195
234,CIN-D539126,Zineb Bennani,1279.84,403.47,876.37,+212 0683188861,PENDING,410
235,CIN-B409672,Siham Kabbaj,650.99,529.6,121.39,+212 0691154168,PENDING,476
236,CIN-C200280,Karim Naciri,1195.13,903.73,291.4,+212 0614065476,PENDING,186
237,CIN-C483461,Karim Tahiri,2327.74,987.13,1340.61,+212 0675351383,PENDING,424
238,CIN-A722774,Hassan Chraibi,494.24,279.38,214.86,+212 0765158223,PENDING,307
239,CIN-B911288,Nadia Skalli,1268.65,46.11,1222.54,+212 0756124983,PENDING,306
240,CIN-A946660,Ilham Kabbaj,719.78,224.76,495.02,+212 0793892529,PENDING,294
241,CIN-D569428,Ilham Alaoui,1642.27,367.42,1274.85,+212 0729083116,PENDING,271
242,CIN-A201847,Saddik Daoudi,2225.85,586.73,1639.12,+212 0787320718,PENDING,414
243,CIN-C339372,Khadija Naciri,1581.14,396.89,1184.25,+212 0669718701,PENDING,474
244,CIN-C788532,Meryem Kabbaj,743.52,608.48,135.04,+212 0719199949,PENDING,125
245,CIN-C185854,Zineb Berrada,2131.64,1950.75,180.89,+212 0714227404,PENDING,172
246,CIN-C334650,Soufiane Bennani,2103.21,1101.77,1001.44,+212 0670810357,PENDING,90
247,CIN-C372163,Youssef El Amrani,1435.76,1408.39,27.37,+212 0792460128,PENDING,469
248,CIN-A381599,Hassan Benjelloun,2262.63,905.84,1356.79,+212 0708108667,PENDING,133
249,CIN-B333008,Saddik Tahiri,1869.57,671.24,1198.33,+212 0635406428,PENDING,369
250,CIN-A284259,Houda Daoudi,1464.38,733.44,730.94,+212 0769186484,PENDING,83
251,CIN-B450306,Othmane El Amrani,456.68,128.65,328.03,+212 0793706272,PENDING,143
252,CIN-A985443,Mehdi Tazi,1039.26,739.98,299.28,+212 0613887057,PENDING,443
253,CIN-D223585,Karim Skalli,488.08,302.9,185.18,+212 0748700964,PENDING,274
254,CIN-D576598,Reda Alaoui,1000.83,610.39,390.44,+212 0760166858,PENDING,451
255,CIN-B232003,Fatima Chraibi,1364.12,454.17,909.95,+212 0753930361,PENDING,388
256,CIN-B571250,Houda Mansouri,1855.66,460.02,1395.64,+212 0715742368,PENDING,538
257,CIN-D920951,Omar Skalli,120.52,26.34,94.18,+212 0686588074,PENDING,120
258,CIN-D304501,Nadia El Idrissi,1756.65,69.05,1687.6,+212 0756566363,PENDING,117
259,CIN-B132155,Fatima Berrada,601.25,372.18,229.07,+212 0604210379,PENDING,310
260,CIN-D760395,Mehdi Skalli,1642.42,732.48,909.94,+212 0612335793,PENDING,483
261,CIN-A345756,Amine Benjelloun,1799.97,624.64,1175.33,+212 0692992920,PENDING,215
262,CIN-A336822,Soufiane Skalli,1165.46,867.32,298.14,+212 0708507491,PENDING,160
263,CIN-A350175,Nadia Tahiri,1392.53,273.36,1119.17,+212 0749382683,PENDING,15
264,CIN-C623183,Mehdi Alaoui,1750.5,1250.31,500.19,+212 0636736140,PENDING,424
265,CIN-C793593,Meryem Tazi,283.71,81.86,201.85,+212 0658181106,PENDING,155
266,CIN-B775544,Siham Berrada,2017.0,1802.72,214.28,+212 0619789589,PENDING,151
267,CIN-D644035,Youssef Naciri,200.57,181.85,18.72,+212 0607232274,PENDING,243
268,CIN-C360208,Zineb Chraibi,2022.2,183.32,1838.88,+212 0608834442,PENDING,498
269,CIN-B712114,Zineb Benjelloun,799.82,213.32,586.5,+212 0785847702,PENDING,134
270,CIN-D906633,Omar El Amrani,1316.54,842.82,473.72,+212 0657191043,PENDING,180
271,CIN-B211553,Zineb Benjelloun,2328.89,558.55,1770.34,+212 0624250596,PENDING,58
272,CIN-D191655,Nadia Bennani,2300.75,1754.51,546.24,+212 0741877689,PENDING,481
273,CIN-C931618,Saddik Mansouri,2323.05,1472.22,850.83,+212 0696204297,PENDING,91
274,CIN-D461261,Zineb Benjelloun,239.31,22.37,216.94,+212 0608259230,PENDING,100
275,CIN-D125823,Siham Bennani,377.93,156.3,221.63,+212 0715288004,PENDING,374
276,CIN-B946509,Meryem Bennani,758.32,427.62,330.7,+212 0684951704,PENDING,51
277,CIN-B884724,Amine Daoudi,1923.28,921.96,1001.32,+212 0788752632,PENDING,535
278,CIN-D115807,Hassan Alaoui,2194.38,648.57,1545.81,+212 0658021037,PENDING,29
279,CIN-C596355,Soufiane Daoudi,440.69,363.73,76.96,+212 0635062741,PENDING,55
280,CIN-B458290,Reda Alaoui,2245.31,2107.83,137.48,+212 0686041614,PENDING,287
281,CIN-B341776,Khadija Mansouri,627.61,447.66,179.95,+212 0645574643,PENDING,58
282,CIN-C103367,Youssef Naciri,753.35,12.11,741.24,+212 0781815853,PENDING,441
283,CIN-D305342,Houda Naciri,401.04,60.96,340.08,+212 0699491943,PENDING,244
284,CIN-A769503,Mehdi Mansouri,612.98,107.99,504.99,+212 0755685022,PENDING,545
285,CIN-C515449,Zineb Kabbaj,143.29,27.22,116.07,+212 0792795132,PENDING,334
286,CIN-D718249,Meryem Tahiri,282.44,53.34,229.1,+212 0646120140,PENDING,519
287,CIN-D944254,Amine Skalli,2329.64,639.59,1690.05,+212 0716010831,PENDING,248
288,CIN-B206672,Nadia Alaoui,841.6,510.74,330.86,+212 0615533975,PENDING,507
289,CIN-B618010,Houda Tazi,2456.94,322.53,2134.41,+212 0622400025,PENDING,343
290,CIN-D490044,Hassan El Idrissi,2155.77,180.29,1975.48,+212 0602287408,PENDING,500
291,CIN-B215918,Karim Bennani,2458.46,1270.54,1187.92,+212 0635180264,PENDING,309
